sample_id,tsne1,tsne2,cluster
333,6.724157,-0.466924,0
334,-12.461760,8.089234,0
335,6.563825,-6.030427,0
336,-14.338849,2.290766,0
337,7.797726,-19.024158,0
338,0.582317,0.488747,0
339,6.355459,0.787824,0
340,0.076072,-16.825443,0
341,4.270559,8.522837,0
342,3.909890,-0.488615,0
343,1.554358,-8.989711,0
344,12.186511,-2.918280,0
345,-6.052875,11.476115,0
346,0.867253,-5.641902,0
347,5.042870,-0.316964,0
348,8.166551,4.151829,0
349,-1.364798,11.978842,0
350,13.016720,4.480458,0
351,-6.940103,14.556013,0
352,2.326961,-13.011010,0
353,8.892068,5.650017,0
354,1.489730,-16.844601,0
355,6.813976,10.722538,0
356,10.341966,25.007994,0
357,5.202931,-8.506069,0
358,-13.227832,2.292321,0
359,-11.516866,17.065052,0
360,1.490206,3.076265,0
361,-0.648349,-10.503836,0
362,-0.233862,4.872426,0
363,7.135600,-3.441958,0
364,-1.134120,-1.166955,0
365,13.126195,-12.179039,0
366,0.888673,-2.963926,0
367,21.592682,10.327909,0
368,-1.161347,2.785668,0
369,-7.311244,1.887267,0
370,-3.493784,-9.391503,0
371,-1.639483,5.857455,0
372,-3.075472,-11.991591,0
373,-3.189199,6.491438,0
374,-4.726036,-8.711822,0
375,1.931568,0.249482,0
376,-3.657902,15.592618,0
377,1.098426,-7.701876,0
378,-2.631542,-4.954364,0
379,3.137552,0.004394,0
380,-5.702726,4.386247,0
381,20.857723,4.142190,0
382,-9.733280,2.320251,0
383,-3.520943,4.039966,0
384,-2.588292,3.451973,0
385,-2.603963,1.403302,0
386,-7.089981,8.211339,0
387,0.005147,-0.171718,0
388,-2.546894,-2.379673,0
389,-2.415933,4.593072,0
390,-1.095530,17.154154,0
391,1.800236,-4.716931,0
392,24.171890,-10.392072,0
393,-0.532152,1.385803,0
394,0.323155,14.978286,0
395,14.202505,-4.369627,0
396,6.792207,-8.873634,0
397,9.663707,3.361226,0
398,4.267454,5.189931,0
399,-2.312091,-8.386544,0
400,-1.044699,8.912954,0
401,-8.739025,-1.118352,0
402,-1.109779,-13.847281,0
403,0.688052,-10.840900,0
404,-1.125458,-13.351059,0
405,4.094806,1.314652,0
406,-4.935575,9.197317,0
407,-4.230517,10.418644,0
408,-1.247953,2.013063,0
409,-2.076287,-6.524963,0
410,-3.671057,3.158150,0
411,2.317879,2.762551,0
412,-3.564478,-0.776509,0
413,2.737864,-6.284360,0
414,2.997604,-7.302275,0
415,-10.065705,4.134033,0
416,12.745789,0.708252,0
417,11.308612,15.572055,0
418,6.943257,5.326934,0
419,11.807930,-6.154138,0
420,3.317544,5.241918,0
421,-1.258004,7.256324,0
422,-3.062255,-3.141354,0
423,9.408500,-5.086722,0
424,-4.182123,-1.827147,0
425,1.079385,2.502451,0
426,2.402199,1.160879,0
427,23.573212,-10.418694,0
428,-9.157423,7.086159,0
429,3.547991,2.596682,0
430,3.736759,0.330611,0
431,-6.831008,-13.968888,0
432,-1.098023,0.618534,0
433,13.355010,-12.432751,0
434,3.835821,3.571881,0
435,-8.680305,5.159509,0
436,9.093649,0.747505,0
437,-2.822245,2.371537,0
438,23.484537,-10.422285,0
439,-6.985468,0.402348,0
440,-1.277317,-1.879482,0
441,-3.224405,13.847419,0
442,9.839842,4.212539,0
443,11.265628,6.823447,0
444,9.904262,-3.498062,0
445,-7.803601,21.123800,0
446,-0.757767,5.571862,0
447,-7.707582,20.775518,0
448,-2.137295,-1.225149,0
449,3.745324,4.581983,0
450,0.744433,12.268016,0
451,-1.136674,3.867265,0
452,-4.439305,-4.286357,0
453,10.340925,25.005413,0
454,-6.994449,16.856867,0
455,2.545678,3.629348,0
456,12.535972,4.380296,0
457,8.222532,8.503535,0
458,-4.244107,12.915420,0
459,-5.080429,0.078214,0
460,-9.910204,6.982834,0
461,7.084332,12.975627,0
462,1.399012,1.171428,0
463,3.512423,14.793214,0
