probability,train_density,test_density
0.474124,0.025241,0.273430
0.475793,0.024662,0.272598
0.477462,0.024107,0.271759
0.479132,0.023576,0.270914
0.480801,0.023068,0.270062
0.482471,0.022582,0.269203
0.484140,0.022119,0.268339
0.485810,0.021679,0.267468
0.487479,0.021260,0.266591
0.489149,0.020863,0.265708
0.490818,0.020487,0.264820
0.492487,0.020132,0.263926
0.494157,0.019799,0.263027
0.495826,0.019485,0.262123
0.497496,0.019192,0.261213
0.499165,0.018920,0.260299
0.500835,0.018667,0.259381
0.502504,0.018434,0.258458
0.504174,0.018220,0.257531
0.505843,0.018026,0.256600
0.507513,0.017852,0.255666
0.509182,0.017696,0.254729
0.510851,0.017559,0.253789
0.512521,0.017441,0.252847
0.514190,0.017341,0.251902
0.515860,0.017261,0.250956
0.517529,0.017198,0.250009
0.519199,0.017154,0.249060
0.520868,0.017129,0.248111
0.522538,0.017121,0.247161
0.524207,0.017132,0.246212
0.525876,0.017161,0.245263
0.527546,0.017208,0.244316
0.529215,0.017272,0.243370
0.530885,0.017356,0.242427
0.532554,0.017457,0.241486
0.534224,0.017576,0.240548
0.535893,0.017713,0.239613
0.537563,0.017868,0.238683
0.539232,0.018041,0.237758
0.540902,0.018233,0.236838
0.542571,0.018442,0.235924
0.544240,0.018670,0.235016
0.545910,0.018917,0.234115
0.547579,0.019181,0.233222
0.549249,0.019465,0.232337
0.550918,0.019766,0.231461
0.552588,0.020087,0.230594
0.554257,0.020426,0.229738
0.555927,0.020784,0.228892
0.557596,0.021162,0.228058
0.559265,0.021558,0.227236
0.560935,0.021974,0.226426
0.562604,0.022410,0.225630
0.564274,0.022865,0.224848
0.565943,0.023340,0.224080
0.567613,0.023835,0.223328
0.569282,0.024350,0.222592
0.570952,0.024886,0.221873
0.572621,0.025442,0.221171
0.574290,0.026019,0.220487
0.575960,0.026618,0.219822
0.577629,0.027237,0.219176
0.579299,0.027879,0.218550
0.580968,0.028541,0.217945
0.582638,0.029226,0.217362
0.584307,0.029934,0.216800
0.585977,0.030664,0.216261
0.587646,0.031416,0.215745
0.589316,0.032192,0.215253
0.590985,0.032991,0.214786
0.592654,0.033814,0.214343
0.594324,0.034661,0.213926
0.595993,0.035532,0.213536
0.597663,0.036428,0.213172
0.599332,0.037348,0.212836
0.601002,0.038294,0.212527
0.602671,0.039265,0.212247
0.604341,0.040262,0.211995
0.606010,0.041285,0.211773
0.607679,0.042335,0.211580
0.609349,0.043411,0.211418
0.611018,0.044515,0.211287
0.612688,0.045646,0.211186
0.614357,0.046805,0.211116
0.616027,0.047993,0.211079
0.617696,0.049208,0.211073
0.619366,0.050453,0.211100
0.621035,0.051727,0.211159
0.622705,0.053031,0.211251
0.624374,0.054365,0.211376
0.626043,0.055729,0.211534
0.627713,0.057124,0.211725
0.629382,0.058550,0.211950
0.631052,0.060007,0.212208
0.632721,0.061497,0.212500
0.634391,0.063018,0.212826
0.636060,0.064573,0.213185
0.637730,0.066160,0.213577
0.639399,0.067780,0.214004
0.641068,0.069435,0.214463
0.642738,0.071123,0.214956
0.644407,0.072846,0.215483
0.646077,0.074604,0.216042
0.647746,0.076397,0.216633
0.649416,0.078225,0.217258
0.651085,0.080090,0.217914
0.652755,0.081991,0.218602
0.654424,0.083928,0.219322
0.656093,0.085903,0.220073
0.657763,0.087915,0.220854
0.659432,0.089965,0.221666
0.661102,0.092052,0.222507
0.662771,0.094179,0.223378
0.664441,0.096344,0.224277
0.666110,0.098548,0.225205
0.667780,0.100791,0.226160
0.669449,0.103074,0.227141
0.671119,0.105398,0.228149
0.672788,0.107761,0.229182
0.674457,0.110166,0.230241
0.676127,0.112611,0.231323
0.677796,0.115098,0.232428
0.679466,0.117626,0.233556
0.681135,0.120196,0.234705
0.682805,0.122808,0.235875
0.684474,0.125462,0.237065
0.686144,0.128159,0.238274
0.687813,0.130899,0.239501
