题目,评委ID,TOPSIS_熵权,TOPSIS_CRITIC,TOPSIS_CV,TOPSIS_标准差,TOPSIS_PCA,TOPSIS_GRA,排名_熵权,排名_CRITIC,排名_CV,排名_标准差,排名_PCA,排名_GRA
B,专家B01,0.5593799791699482,0.6576303808266234,0.5983596103825359,0.6468342870438405,0.6165061923876812,0.6571179194122371,20,19,20,23,26,22
B,专家B02,0.7965068780803151,0.8397651386173014,0.8185600835784878,0.849227915203444,0.8642553580026189,0.8541017601669086,3,2,2,2,1,2
B,专家B03,0.23796334654180548,0.360706296231838,0.27037463068878964,0.32513392186266005,0.23988119109898012,0.32421837296883593,55,53,55,54,55,54
B,专家B04,0.4043783128083916,0.585951728008723,0.4857605258364049,0.6006505204975654,0.6159472568231203,0.6157875723985089,38,31,36,28,27,27
B,专家B05,0.5314243610281424,0.6474334303820354,0.5783907923759987,0.6487797655601616,0.6439602853403757,0.6548630603178552,28,21,23,22,22,23
B,专家B06,0.6577019002371591,0.6939111301974449,0.6630524851289018,0.6774108597378053,0.6440447375426361,0.6774621212466161,10,14,12,17,21,18
B,专家B07,0.5583020810178076,0.682463896920543,0.6122616259874525,0.6921871286021033,0.7040244030082172,0.6979603118079845,21,16,19,15,14,15
B,专家B08,0.8168033994506783,0.7655581296974618,0.7819799483297517,0.7491672936340152,0.7266100148544463,0.7385638937524117,2,6,3,7,9,9
B,专家B09,0.40091350625477334,0.5793058274287001,0.47619292614514386,0.5826253362837293,0.5766426477236222,0.5936853906187213,39,33,38,32,32,30
B,专家B10,0.661097059948395,0.7004894002127148,0.6844317408430101,0.7117517993909576,0.7291149027236251,0.7180651318969044,9,12,11,12,8,12
B,专家B11,0.3713700284249025,0.4748884013931612,0.41256451956159795,0.4690588860830263,0.449365920260989,0.47638315348871935,45,45,46,47,48,47
B,专家B12,0.6265587830815531,0.6899348292633601,0.6555694492285564,0.6972290251752101,0.7071137846409795,0.7015614856208683,13,15,13,14,13,14
B,专家B13,0.36188115602202686,0.5214002686606175,0.421859490498334,0.5108879473279977,0.4811233720913412,0.514075057065386,47,39,45,42,44,42
B,专家B14,0.5991946803223107,0.7171605818866752,0.6475191878789303,0.7202526763943742,0.7182211427965389,0.7273741726142907,15,11,14,11,10,10
B,专家B15,0.3937434340677279,0.5609034239481018,0.4583764361974974,0.5510714097967246,0.51920976323145,0.5578615163142315,42,36,39,37,41,37
B,专家B16,0.2819621521209783,0.3900565025806693,0.3370587610197223,0.4063070300485562,0.4289677428081923,0.4159938901710739,53,52,52,52,49,51
B,专家B17,0.5149189537193218,0.6438619832569124,0.5716936102278871,0.6545656481338006,0.6672924480575274,0.6622251878278054,29,23,24,21,19,20
B,专家B18,0.46142272169055326,0.5820795365062614,0.5042907755031475,0.5724541274694277,0.5478784301885306,0.5739353254289287,33,32,34,34,38,34
B,专家B19,0.30292136756735016,0.4333288335184634,0.3537828867576345,0.4241699252287608,0.3963174014466551,0.43115647036015076,51,50,50,50,51,50
B,专家B20,0.7779979512309673,0.7705342285389369,0.7637417417426458,0.748891007701114,0.7085046163494456,0.7501426080393914,5,5,5,8,12,7
B,专家B21,0.4946795304702402,0.597598813186052,0.5325127221995232,0.5874790172086215,0.5593394517961182,0.5942025375556707,30,27,30,30,35,29
B,专家B22,0.33966734190966813,0.4713910789690702,0.40304532851899944,0.49041964389829373,0.5194662882966042,0.49692009538244875,49,46,47,43,40,43
B,专家B23,0.43581413475570036,0.5893372141083181,0.5075768409441641,0.6083502037249219,0.6348561375684851,0.6183285828545008,35,28,33,26,23,26
B,专家B24,0.4864789493132372,0.5784028819518794,0.5176635392932383,0.566905272841789,0.5383966629877863,0.5703419424117095,32,34,31,35,39,35
B,专家B25,0.3994999004698571,0.5209624558593212,0.4576605639000893,0.5351803574776611,0.5535632105572598,0.5451653923783747,40,40,40,39,36,38
B,专家B26,0.5546058435609946,0.5025817860573277,0.5500439127178601,0.5295569945030018,0.585426710321552,0.5323644766583363,22,43,28,41,29,41
B,专家B27,0.4345567681948781,0.5868178037024706,0.49548277051762724,0.5861659224097436,0.5776903702177962,0.5900734852444179,36,30,35,31,31,32
B,专家B28,0.5711154633598877,0.6948248290730401,0.6214522637334229,0.6980279073706191,0.6971582809300115,0.703544111808962,19,13,16,13,15,13
B,专家B29,0.5521159251163354,0.5082215327811352,0.5480118124635328,0.5303680637178494,0.5754655783636713,0.5327991389087732,23,42,29,40,33,40
B,专家B30,0.38220181869823994,0.5003962747035865,0.4226957527025421,0.4861201832225334,0.4508384073262093,0.48855487793544633,43,44,44,44,47,44
B,专家B31,0.4221242264935737,0.5771203962184135,0.48520777451673547,0.5767054320528902,0.5660092419232902,0.5842143488623697,37,35,37,33,34,33
B,专家B32,0.37439801976469217,0.5501426374049916,0.447491812278054,0.5536630442530596,0.5514857372308053,0.5600853607755102,44,38,42,36,37,36
B,专家B33,0.5875740240236439,0.6397829590006753,0.6174849931810173,0.657052035735331,0.6878797435324593,0.6598829806361699,17,24,18,20,17,21
B,专家B34,0.5436078867023896,0.5892775223333387,0.5694351320171869,0.6020648926168655,0.6234513044247794,0.6063686276975078,24,29,25,27,24,28
B,专家B35,0.5318339109560661,0.6043195562787526,0.5532387795154458,0.5952045199703425,0.5785251781757499,0.5905756790597922,27,26,27,29,30,31
B,专家B36,0.3502173785294453,0.4708626287612075,0.40170391523245924,0.4740129246355105,0.47307726036618897,0.4798775072212394,48,47,48,46,45,45
B,专家B37,0.2668311126854157,0.30946241291248944,0.30023287598947407,0.33030206862183187,0.3622059278996655,0.34030605527713637,54,55,54,53,52,53
B,专家B38,0.3937625940858497,0.552213679903607,0.45288498172647124,0.5417752535887153,0.5149333013927531,0.5418383914968529,41,37,41,38,42,39
B,专家B39,0.7391941234134153,0.7911463908220442,0.7551548310484693,0.783812722344051,0.7674488909906217,0.784125389029811,6,3,6,3,5,3
B,专家B40,0.7801504221977018,0.7839049753384427,0.7774806059878563,0.7795182562601229,0.7733441056789446,0.7758362715294421,4,4,4,4,4,4
B,专家B41,0.6574027337162544,0.7590776104323473,0.6990248313857548,0.76248762845383,0.761987886930204,0.7690079403688852,11,7,9,6,6,5
B,专家B42,0.5433434543733308,0.51808577957075,0.5085070974571988,0.479381077733283,0.40695339151907134,0.4720815403310586,25,41,32,45,50,48
B,专家B43,0.54022059197021,0.6683200726086529,0.5970035537846361,0.6794168912315407,0.6919874080706832,0.6887353217736746,26,17,21,16,16,16
B,专家B44,0.437372761892534,0.39936054272279964,0.4433735453118305,0.43477085064645504,0.5081366334317046,0.4379159213404805,34,51,43,49,43,49
B,专家B45,0.7298107194857841,0.7511273617765769,0.7457381497010275,0.7632998312921839,0.785229468175185,0.7671952602723784,7,8,7,5,3,6
B,专家B46,0.5740289705482992,0.6446252299874872,0.5923577935077657,0.6293045820308052,0.5977601386520972,0.627143037009963,18,22,22,24,28,25
B,专家B47,0.6125684846992763,0.6301597928173587,0.6185871422796388,0.6274051066291239,0.6204669443763229,0.6289734109013231,14,25,17,25,25,24
B,专家B48,0.5919432636462144,0.6611194765686721,0.6231700977605509,0.6622657527275473,0.6566890177253311,0.6713268271742663,16,18,15,19,20,19
B,专家B49,0.28286372661855513,0.4424756469091967,0.3341728480249362,0.4079483338925637,0.31965185972687055,0.41053365525394886,52,49,53,51,53,52
B,专家B50,0.49449372575594563,0.6553895966510712,0.5653046946203054,0.6670262471544282,0.6794032841808532,0.6775137178269558,31,20,26,18,18,17
B,专家B51,0.3360047692477075,0.46191908960864153,0.3940923290151739,0.46694919007492086,0.46522275041837774,0.4794239194742676,50,48,49,48,46,46
B,专家B52,0.6531674335300572,0.7426757624734739,0.6887633846553776,0.7449980582572654,0.7445615766590162,0.7485713388639063,12,9,10,9,7,8
B,专家B53,0.6916041172814315,0.729162166372721,0.7010337890899195,0.7228874428863072,0.7119421783771777,0.7194361291876251,8,10,8,10,11,11
B,专家B54,0.36688420106394304,0.33064340985756846,0.3437721631135753,0.3208041204736452,0.3082181756130391,0.3123947058004375,46,54,51,55,54,55
B,专家B55,0.9031659792524633,0.8881060093971218,0.8874651748506619,0.876779764786559,0.8603915294512667,0.8708284108907454,1,1,1,1,2,1
C,专家C01,0.659285698080092,0.4876618418031515,0.6462069593888049,0.5400905204836305,0.5266620530919662,0.5947380221241294,1,14,1,10,10,5
C,专家C02,0.4113686592700728,0.5469788388104588,0.4267480348923864,0.5104700271514264,0.5250288674269216,0.471887782636142,14,11,14,12,11,14
C,专家C03,0.5152875747111354,0.6004563951725247,0.4998202655455446,0.5479808862408838,0.5454157312030208,0.502123782350902,8,8,9,8,9,11
C,专家C04,0.4528041366197119,0.6092307211782557,0.4767376026443648,0.5750670645618972,0.5929338999732101,0.536707774826772,11,6,10,6,4,8
C,专家C05,0.43808489414743057,0.4523922699137731,0.4661836560539108,0.4801688957213937,0.4809679109451105,0.5008798753338497,12,16,12,14,16,12
C,专家C06,0.6038919681558335,0.662401282100115,0.6229277918974672,0.6610621906422907,0.6812779012255249,0.6547406080659256,5,4,4,2,2,2
C,专家C07,0.5145051318603486,0.5552718149878109,0.5066970315495714,0.5297570797436162,0.5200782032722406,0.5085819987172144,9,10,8,11,12,10
C,专家C08,0.5511290617017087,0.6458751689479446,0.5505306694442647,0.6064556343024987,0.590455104959243,0.5731633594291193,6,5,6,5,6,6
C,专家C09,0.40906880138300367,0.49253669940885875,0.3849331792022456,0.4309341691841611,0.4179333105608128,0.3798221867387739,15,13,15,17,17,18
C,专家C10,0.6438838261428055,0.7014821653688316,0.6288815225762522,0.6602872329549256,0.6247895251501343,0.6310465741906733,3,3,3,3,3,3
C,专家C11,0.11251825328186484,0.1788693067258109,0.11512400269570569,0.15636594728720637,0.16720121154649775,0.131609880280737,20,19,20,20,20,20
C,专家C12,0.17612455689146075,0.12964130129061519,0.20037917884756912,0.17951779058212397,0.2351053534026533,0.20668174066974254,19,20,19,19,19,19
C,专家C13,0.30595432583514726,0.3200043581216249,0.34579488211415155,0.36172110237104294,0.3902124067685288,0.38903306761253736,18,18,18,18,18,17
C,专家C14,0.34369097012957583,0.47654412518408107,0.36556184812877796,0.4482818018844618,0.49750306437444175,0.41191745823807246,16,15,16,16,14,15
C,专家C15,0.4130932371654286,0.5734973000825012,0.4392644871505805,0.5412639310886417,0.5809563170840583,0.5006091302450052,13,9,13,9,8,13
C,专家C16,0.4578209508820233,0.6075162339611525,0.4728053014736301,0.565921975164199,0.5917958342956667,0.5195241089302366,10,7,11,7,5,9
C,专家C17,0.5211964820879829,0.43288738089160383,0.5484691343674657,0.4983234641073162,0.5000629880626003,0.555597080866344,7,17,7,13,13,7
C,专家C18,0.6306594294169009,0.7330660943291576,0.6419891881353678,0.7048081930148777,0.7166796497491992,0.6754886670145981,4,1,2,1,1,1
C,专家C19,0.6506069415153303,0.7034356314571911,0.6139162315079715,0.6377190741715186,0.5846921660243818,0.5948839921067568,2,2,5,4,7,4
