题目,评委ID,阅卷量,信度,效度,公平性,区分力,评分均值,评分标准差,获奖率,公平性_raw,TOPSIS得分,排名,TOPSIS等权,排名等权,聚类,Silhouette,分层,信度_排名,效度_排名,公平性_排名,区分力_排名
B,专家B52,100,0.66986899107558,0.7407437760067395,-0.2490896540886965,15.970507192947881,53.77,15.970507192947881,0.42,0.2490896540886965,0.6887633846553776,10,0.7485713388639063,8,2,0.2503325727755938,优秀,15,7,14,13
B,专家B53,101,0.5871190455201482,0.7227555689722028,-0.48761732952215653,17.283266555065616,55.960396039603964,17.283266555065616,0.5148514851485149,0.48761732952215653,0.7010337890899195,8,0.7194361291876251,11,2,0.2503325727755938,优秀,34,15,27,8
B,专家B54,102,0.24851235813819472,0.537782410010642,-2.0720049828370217,13.952120576779869,70.50980392156863,13.952120576779869,0.43137254901960786,2.0720049828370217,0.3437721631135753,51,0.3123947058004375,55,3,0.2503325727755938,需关注,55,50,51,27
B,专家B55,101,0.6872987693327808,0.753728506606099,-0.07574926454190138,21.281887450541227,52.17821782178218,21.281887450541227,0.4752475247524752,0.07574926454190138,0.8874651748506619,1,0.8708284108907454,1,2,0.2503325727755938,优秀,12,6,7,2
C,专家C01,101,0.43567466421125667,0.7291265740184654,-1.8877357791816296,22.228968630325678,37.43564356435643,22.228968630325678,0.39603960396039606,1.8877357791816296,0.6462069593888049,1,0.5947380221241294,5,0,0.3942456491082811,优秀,10,1,18,1
C,专家C02,102,0.43441107906601395,0.5352769143356405,-0.43245337458220384,9.939938817647596,53.96078431372549,9.939938817647596,0.4117647058823529,0.43245337458220384,0.4267480348923864,14,0.471887782636142,14,1,0.3942456491082811,良好,12,15,10,13
C,专家C03,101,0.382402943975693,0.5347607325823842,-0.2903632667988623,14.563854983256869,55.57425742574257,14.563854983256869,0.43564356435643564,0.2903632667988623,0.4998202655455446,9,0.502123782350902,11,1,0.3942456491082811,良好,16,16,7,5
C,专家C04,101,0.4821624444703512,0.5441706483178711,-0.12467456938792662,9.2322472229362,60.28712871287129,9.2322472229362,0.39603960396039606,0.12467456938792662,0.4767376026443648,10,0.536707774826772,8,1,0.3942456491082811,良好,4,14,5,14
C,专家C05,102,0.4965717319969326,0.601423459584703,-1.2951698279879522,11.097991581689502,73.57843137254902,11.097991581689502,0.37254901960784315,1.2951698279879522,0.4661836560539108,12,0.5008798753338497,12,0,0.3942456491082811,优秀,2,6,15,11
C,专家C06,100,0.48536579766936644,0.6358442481264488,-0.5514098587651705,14.219630796894833,52.61,14.219630796894833,0.44,0.5514098587651705,0.6229277918974672,4,0.6547406080659256,2,1,0.3942456491082811,良好,3,3,13,7
C,专家C07,102,0.41978079198586804,0.561366008343727,-0.7372264832814868,14.527020125458979,50.5,14.527020125458979,0.4411764705882353,0.7372264832814868,0.5066970315495714,8,0.5085819987172144,10,1,0.3942456491082811,良好,14,10,14,6
C,专家C08,101,0.4635391045030061,0.5515417972253405,-0.3888911564818602,14.166984874879141,54.45544554455446,14.166984874879141,0.45544554455445546,0.3888911564818602,0.5505306694442647,6,0.5731633594291193,6,1,0.3942456491082811,良好,7,12,8,8
C,专家C09,103,0.3324790399181167,0.4565032441144515,-0.5196295986387661,13.556395195361043,52.970873786407765,13.556395195361043,0.33980582524271846,0.5196295986387661,0.3849331792022456,15,0.3798221867387739,18,1,0.3942456491082811,良好,17,19,11,9
C,专家C10,101,0.47173385825683095,0.5635965505002063,-0.40109815166382473,17.001997956599805,54.31683168316832,17.001997956599805,0.36633663366336633,0.40109815166382473,0.6288815225762522,3,0.6310465741906733,3,1,0.3942456491082811,良好,6,8,9,3
C,专家C11,102,0.31276222882236165,0.4536349175010645,-1.4661190504311756,6.125693865710975,75.51960784313725,6.125693865710975,0.39215686274509803,1.4661190504311756,0.11512400269570569,20,0.131609880280737,20,2,0.3942456491082811,合格,19,20,16,20
C,专家C12,102,0.3001094991028307,0.5806417885029832,-1.968606158824894,6.731411387629768,81.22549019607843,6.731411387629768,0.4215686274509804,1.968606158824894,0.20037917884756912,19,0.20668174066974254,19,2,0.3942456491082811,合格,20,7,19,18
C,专家C13,100,0.45933127099190585,0.6066709416097291,-1.6026539496088088,6.505774358214401,77.07,6.505774358214401,0.43,1.6026539496088088,0.34579488211415155,18,0.38903306761253736,17,0,0.3942456491082811,优秀,8,5,17,19
C,专家C14,100,0.38373860027484225,0.5627755255822029,-0.5247413979122634,7.600072368076505,64.83,7.600072368076505,0.39,0.5247413979122634,0.36556184812877796,16,0.41191745823807246,15,1,0.3942456491082811,良好,15,9,12,16
C,专家C15,102,0.4439065545755685,0.5568464654649892,-0.11406610928931456,7.73340517208012,60.166666666666664,7.73340517208012,0.47058823529411764,0.11406610928931456,0.4392644871505805,13,0.5006091302450052,13,1,0.3942456491082811,良好,9,11,4,15
C,专家C16,102,0.4237023723263086,0.5495090634947715,-0.00162679882882672,10.209950028515081,58.85294117647059,10.209950028515081,0.4803921568627451,0.00162679882882672,0.4728053014736301,11,0.5195241089302366,9,1,0.3942456491082811,良好,13,13,1,12
C,专家C17,103,0.5461306607840711,0.7057087469058345,-2.023570345540714,13.417791855548359,35.89320388349515,13.417791855548359,0.44660194174757284,2.023570345540714,0.5484691343674657,7,0.555597080866344,7,0,0.3942456491082811,优秀,1,2,20,10
C,专家C18,102,0.47983763926525624,0.6086471295454348,-0.0018267208164909209,14.564869676082806,58.8921568627451,14.564869676082806,0.4019607843137255,0.0018267208164909209,0.6419891881353678,2,0.6754886670145981,1,1,0.3942456491082811,良好,5,4,2,4
